en:McEwan_Na-Chesilske:0:shuff:2,cs:McEwan_Na-Chesilske:0:shuff:2,froze,freeze,ztuhla,ztuhnout,pf
en:McEwan_Na-Chesilske:0:shuff:41,cs:McEwan_Na-Chesilske:0:shuff:41,sat,sit,seděl,sedět,impf
en:McEwan_Na-Chesilske:0:shuff:43,cs:McEwan_Na-Chesilske:0:shuff:43,changed,change,změnit,změnit,pf
en:McEwan_Na-Chesilske:0:shuff:43,cs:McEwan_Na-Chesilske:0:shuff:43,doing,do,neudělá,udělat,pf
en:McEwan_Na-Chesilske:0:shuff:44,cs:McEwan_Na-Chesilske:0:shuff:44,called,call,zavolat,zavolat,pf
en:McEwan_Na-Chesilske:0:shuff:45,cs:McEwan_Na-Chesilske:0:shuff:45,walked,walk,kráčeli,kráčet,impf
en:McEwan_Na-Chesilske:0:shuff:45,cs:McEwan_Na-Chesilske:0:shuff:45,tugging,tug,tahala,tahat,impf
en:McEwan_Na-Chesilske:0:shuff:45,cs:McEwan_Na-Chesilske:0:shuff:45,accepted,accept,přijímal,přijímat,impf
en:McEwan_Na-Chesilske:0:shuff:46,cs:McEwan_Na-Chesilske:0:shuff:46,peeled,peel,oloupala,oloupat,pf
en:McEwan_Na-Chesilske:0:shuff:47,cs:McEwan_Na-Chesilske:0:shuff:47,seemed,seem,zdály,zdát,impf
en:McEwan_Na-Chesilske:0:shuff:48,cs:McEwan_Na-Chesilske:0:shuff:48,play,play,hrát,hrát,impf
en:McEwan_Na-Chesilske:0:shuff:48,cs:McEwan_Na-Chesilske:0:shuff:48,play,play,zahrají,zahrát,pf
en:McEwan_Na-Chesilske:0:shuff:49,cs:McEwan_Na-Chesilske:0:shuff:49,brought,bring,přivezl,přivézt,pf
en:McEwan_Na-Chesilske:0:shuff:49,cs:McEwan_Na-Chesilske:0:shuff:49,wanted,want,chtěl,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:49,cs:McEwan_Na-Chesilske:0:shuff:49,learn,learn,naučit,naučit,pf
en:McEwan_Na-Chesilske:0:shuff:49,cs:McEwan_Na-Chesilske:0:shuff:49,love,love,milovat,milovat,impf
en:McEwan_Na-Chesilske:0:shuff:50,cs:McEwan_Na-Chesilske:0:shuff:50,sat,sit,Seděla,sedět,impf
en:McEwan_Na-Chesilske:0:shuff:50,cs:McEwan_Na-Chesilske:0:shuff:50,listened,listen,poslouchala,poslouchat,impf
en:McEwan_Na-Chesilske:0:shuff:51,cs:McEwan_Na-Chesilske:0:shuff:51,thought,think,Domníval,domnívat,impf
en:McEwan_Na-Chesilske:0:shuff:51,cs:McEwan_Na-Chesilske:0:shuff:51,thought,think,považovala,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:51,cs:McEwan_Na-Chesilske:0:shuff:51,found,find,považovala,považovat,impf
en:McEwan_Na-Chesilske:0:shuff:52,cs:McEwan_Na-Chesilske:0:shuff:52,tell,tell,řekl,říci,pf
en:McEwan_Na-Chesilske:0:shuff:52,cs:McEwan_Na-Chesilske:0:shuff:52,tell,tell,rozhodovalo,rozhodovat,impf
en:McEwan_Na-Chesilske:0:shuff:52,cs:McEwan_Na-Chesilske:0:shuff:52,decided,decide,rozhodovalo,rozhodovat,impf
en:McEwan_Na-Chesilske:0:shuff:53,cs:McEwan_Na-Chesilske:0:shuff:53,discovered,discover,zjistil,zjistit,pf
en:McEwan_Na-Chesilske:0:shuff:53,cs:McEwan_Na-Chesilske:0:shuff:53,speak,speak,mluvily,mluvit,impf
en:McEwan_Na-Chesilske:0:shuff:55,cs:McEwan_Na-Chesilske:0:shuff:55,do,do,dělat,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:55,cs:McEwan_Na-Chesilske:0:shuff:55,went,go,dělat,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:55,cs:McEwan_Na-Chesilske:0:shuff:55,went,go,pokračovali,pokračovat,impf
en:McEwan_Na-Chesilske:0:shuff:56,cs:McEwan_Na-Chesilske:0:shuff:56,squeezed,squeeze,stiskla,stisknout,pf
en:McEwan_Na-Chesilske:0:shuff:57,cs:McEwan_Na-Chesilske:0:shuff:57,heard,hear,slyšeli,slyšet,impf
en:McEwan_Na-Chesilske:0:shuff:59,cs:McEwan_Na-Chesilske:0:shuff:59,pushing,push,prosadí,prosadit,pf
en:McEwan_Na-Chesilske:0:shuff:61,cs:McEwan_Na-Chesilske:0:shuff:61,believed,believe,domníval,domnívat,impf
en:McEwan_Na-Chesilske:0:shuff:61,cs:McEwan_Na-Chesilske:0:shuff:61,demonstrating,demonstrate,předvedl,předvést,pf
en:McEwan_Na-Chesilske:0:shuff:62,cs:McEwan_Na-Chesilske:0:shuff:62,done,do,provedl,provést,pf
en:McEwan_Na-Chesilske:0:shuff:63,cs:McEwan_Na-Chesilske:0:shuff:63,did,do,nejdou,jít,impf
en:McEwan_Na-Chesilske:0:shuff:63,cs:McEwan_Na-Chesilske:0:shuff:63,go,go,nejdou,jít,impf
en:McEwan_Na-Chesilske:0:shuff:66,cs:McEwan_Na-Chesilske:0:shuff:66,break,break,neporušili,porušit,pf
en:McEwan_Na-Chesilske:0:shuff:67,cs:McEwan_Na-Chesilske:0:shuff:67,heard,hear,zaslechli,zaslechnout,pf
en:McEwan_Na-Chesilske:0:shuff:67,cs:McEwan_Na-Chesilske:0:shuff:67,caught,catch,zaslechli,zaslechnout,pf
en:McEwan_Na-Chesilske:0:shuff:67,cs:McEwan_Na-Chesilske:0:shuff:67,caught,catch,zachytili,zachytit,pf
en:McEwan_Na-Chesilske:0:shuff:67,cs:McEwan_Na-Chesilske:0:shuff:67,heard,hear,uslyšeli,uslyšet,pf
en:McEwan_Na-Chesilske:0:shuff:68,cs:McEwan_Na-Chesilske:0:shuff:68,turned,turn,otáčela,otáčet,impf
en:McEwan_Na-Chesilske:0:shuff:69,cs:McEwan_Na-Chesilske:0:shuff:69,leaving,leave,odcházeli,odcházet,impf
en:McEwan_Na-Chesilske:0:shuff:69,cs:McEwan_Na-Chesilske:0:shuff:69,slipped,slip,strčil,strčit,pf
en:McEwan_Na-Chesilske:0:shuff:70,cs:McEwan_Na-Chesilske:0:shuff:70,play,play,hrála,hrát,impf
en:McEwan_Na-Chesilske:0:shuff:71,cs:McEwan_Na-Chesilske:0:shuff:71,arrived,arrive,přišla,přijít,pf
en:McEwan_Na-Chesilske:0:shuff:71,cs:McEwan_Na-Chesilske:0:shuff:71,work,work,pracovali,pracovat,impf
en:McEwan_Na-Chesilske:0:shuff:72,cs:McEwan_Na-Chesilske:0:shuff:72,begin,begin,začít,začít,pf
en:McEwan_Na-Chesilske:0:shuff:77,cs:McEwan_Na-Chesilske:0:shuff:77,used,use,používal,používat,impf
en:McEwan_Na-Chesilske:0:shuff:78,cs:McEwan_Na-Chesilske:0:shuff:78,wanted,want,Chtěla,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:78,cs:McEwan_Na-Chesilske:0:shuff:78,hurt,hurt,ublížit,ublížit,pf
en:McEwan_Na-Chesilske:0:shuff:78,cs:McEwan_Na-Chesilske:0:shuff:78,punish,punish,potrestat,potrestat,pf
en:McEwan_Na-Chesilske:0:shuff:78,cs:McEwan_Na-Chesilske:0:shuff:78,make,make,vytvořila,vytvořit,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,beat,beat,bušilo,bušit,impf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,wanted,want,chtěla,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,tell,tell,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,say,say,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,uttered,utter,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,spoke,speak,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,hated,hate,nenávidí,nenávidět,impf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,say,say,nevyslovila,vyslovit,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,uttered,utter,nevyslovila,vyslovit,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,spoke,speak,nevyslovila,vyslovit,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,uttered,utter,promluvil,promluvit,pf
en:McEwan_Na-Chesilske:0:shuff:80,cs:McEwan_Na-Chesilske:0:shuff:80,spoke,speak,promluvil,promluvit,pf
en:McEwan_Na-Chesilske:0:shuff:81,cs:McEwan_Na-Chesilske:0:shuff:81,starting,start,začal,začít,pf
en:McEwan_Na-Chesilske:0:shuff:82,cs:McEwan_Na-Chesilske:0:shuff:82,discovered,discover,Objevila,objevit,pf
en:McEwan_Na-Chesilske:0:shuff:83,cs:McEwan_Na-Chesilske:0:shuff:83,led,lead,vedly,vést,impf
en:McEwan_Na-Chesilske:0:shuff:84,cs:McEwan_Na-Chesilske:0:shuff:84,protect,protect,chránit,chránit,impf
en:McEwan_Na-Chesilske:0:shuff:85,cs:McEwan_Na-Chesilske:0:shuff:85,heard,hear,uslyšel,uslyšet,pf
en:McEwan_Na-Chesilske:0:shuff:89,cs:McEwan_Na-Chesilske:0:shuff:89,move,move,chodila,chodit,impf
en:McEwan_Na-Chesilske:0:shuff:90,cs:McEwan_Na-Chesilske:0:shuff:90,left,leave,nechala,nechat,pf
en:McEwan_Na-Chesilske:0:shuff:92,cs:McEwan_Na-Chesilske:0:shuff:92,bear,bear,má,mít,impf
en:McEwan_Na-Chesilske:0:shuff:92,cs:McEwan_Na-Chesilske:0:shuff:92,bear,bear,snést,snést,pf
en:McEwan_Na-Chesilske:0:shuff:93,cs:McEwan_Na-Chesilske:0:shuff:93,gave,give,nedával,dávat,impf
en:McEwan_Na-Chesilske:0:shuff:93,cs:McEwan_Na-Chesilske:0:shuff:93,see,see,neviděla,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:95,cs:McEwan_Na-Chesilske:0:shuff:95,spoke,speak,promluvil,promluvit,pf
en:McEwan_Na-Chesilske:0:shuff:95,cs:McEwan_Na-Chesilske:0:shuff:95,raise,raise,nezvýšil,zvýšit,pf
en:McEwan_Na-Chesilske:0:shuff:104,cs:McEwan_Na-Chesilske:0:shuff:104,taken,take,udělat,udělat,pf
en:McEwan_Na-Chesilske:0:shuff:106,cs:McEwan_Na-Chesilske:0:shuff:106,refused,refuse,odmítla,odmítnout,pf
en:McEwan_Na-Chesilske:0:shuff:108,cs:McEwan_Na-Chesilske:0:shuff:108,liked,like,Líbila,líbit,impf
en:McEwan_Na-Chesilske:0:shuff:112,cs:McEwan_Na-Chesilske:0:shuff:114,help,help,pomohla,pomoci,pf
en:McEwan_Na-Chesilske:0:shuff:112,cs:McEwan_Na-Chesilske:0:shuff:114,showing,show,ukazovala,ukazovat,impf
en:McEwan_Na-Chesilske:0:shuff:112,cs:McEwan_Na-Chesilske:0:shuff:114,did,do,dělat,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:112,cs:McEwan_Na-Chesilske:0:shuff:114,do,do,dělat,dělat,impf
en:McEwan_Na-Chesilske:0:shuff:113,cs:McEwan_Na-Chesilske:0:shuff:115,wish,wish,nechtěla,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:114,cs:McEwan_Na-Chesilske:0:shuff:116,move,move,hnout,hnout,pf
en:McEwan_Na-Chesilske:0:shuff:117,cs:McEwan_Na-Chesilske:0:shuff:119,take,take,vzít,vzít,pf
en:McEwan_Na-Chesilske:0:shuff:119,cs:McEwan_Na-Chesilske:0:shuff:121,began,begin,začal,začít,pf
en:McEwan_Na-Chesilske:0:shuff:123,cs:McEwan_Na-Chesilske:0:shuff:125,helped,help,Pomohla,pomoci,pf
en:McEwan_Na-Chesilske:0:shuff:123,cs:McEwan_Na-Chesilske:0:shuff:125,bending,bend,pokrčila,pokrčit,pf
en:McEwan_Na-Chesilske:0:shuff:125,cs:McEwan_Na-Chesilske:0:shuff:127,say,say,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:125,cs:McEwan_Na-Chesilske:0:shuff:127,love,love,miluješ,milovat,impf
en:McEwan_Na-Chesilske:0:shuff:130,cs:McEwan_Na-Chesilske:0:shuff:133,talked,talk,nemluvili,mluvit,impf
en:McEwan_Na-Chesilske:0:shuff:131,cs:McEwan_Na-Chesilske:0:shuff:134,asked,ask,nepožádal,požádat,pf
en:McEwan_Na-Chesilske:0:shuff:132,cs:McEwan_Na-Chesilske:0:shuff:135,sat,sit,seděl,sedět,impf
en:McEwan_Na-Chesilske:0:shuff:132,cs:McEwan_Na-Chesilske:0:shuff:135,kiss,kiss,políbila,políbit,pf
en:McEwan_Na-Chesilske:0:shuff:133,cs:McEwan_Na-Chesilske:0:shuff:136,loathe,loathe,nenáviděla,nenávidět,impf
en:McEwan_Na-Chesilske:0:shuff:135,cs:McEwan_Na-Chesilske:0:shuff:138,listened,listen,naslouchali,naslouchat,impf
en:McEwan_Na-Chesilske:0:shuff:136,cs:McEwan_Na-Chesilske:0:shuff:139,expected,expect,předpokládala,předpokládat,impf
en:McEwan_Na-Chesilske:0:shuff:136,cs:McEwan_Na-Chesilske:0:shuff:139,put,put,položil,položit,pf
en:McEwan_Na-Chesilske:0:shuff:137,cs:McEwan_Na-Chesilske:0:shuff:140,spreading,spread,šířilo,šířit,impf
en:McEwan_Na-Chesilske:0:shuff:138,cs:McEwan_Na-Chesilske:0:shuff:141,think,think,má,mít,impf
en:McEwan_Na-Chesilske:0:shuff:138,cs:McEwan_Na-Chesilske:0:shuff:141,think,think,myslet,myslet,impf
en:McEwan_Na-Chesilske:0:shuff:139,cs:McEwan_Na-Chesilske:0:shuff:142,hope,hope,Doufám,doufat,impf
en:McEwan_Na-Chesilske:0:shuff:139,cs:McEwan_Na-Chesilske:0:shuff:142,talking,talk,nemluvíš,mluvit,impf
en:McEwan_Na-Chesilske:0:shuff:148,cs:McEwan_Na-Chesilske:0:shuff:152,say,say,mluvila,mluvit,impf
en:McEwan_Na-Chesilske:0:shuff:148,cs:McEwan_Na-Chesilske:0:shuff:152,say,say,říct,říci,pf
en:McEwan_Na-Chesilske:0:shuff:149,cs:McEwan_Na-Chesilske:0:shuff:153,dispel,dispel,rozptýlit,rozptýlit,pf
en:McEwan_Na-Chesilske:0:shuff:149,cs:McEwan_Na-Chesilske:0:shuff:153,admit,admit,připustit,připustit,pf
en:McEwan_Na-Chesilske:0:shuff:151,cs:McEwan_Na-Chesilske:0:shuff:155,invited,invite,pozval,pozvat,pf
en:McEwan_Na-Chesilske:0:shuff:151,cs:McEwan_Na-Chesilske:0:shuff:155,seen,see,viděla,vidět,impf
en:McEwan_Na-Chesilske:0:shuff:152,cs:McEwan_Na-Chesilske:0:shuff:156,sat,sit,seděl,sedět,impf
en:McEwan_Na-Chesilske:0:shuff:153,cs:McEwan_Na-Chesilske:0:shuff:157,thought,think,nemá,mít,impf
en:McEwan_Na-Chesilske:0:shuff:157,cs:McEwan_Na-Chesilske:0:shuff:161,continued,continue,pokračovali,pokračovat,impf
en:McEwan_Na-Chesilske:0:shuff:157,cs:McEwan_Na-Chesilske:0:shuff:161,continued,continue,pokračovali,pokračovat,impf
en:McEwan_Na-Chesilske:0:shuff:158,cs:McEwan_Na-Chesilske:0:shuff:162,passed,pass,uplynout,uplynout,pf
en:McEwan_Na-Chesilske:0:shuff:158,cs:McEwan_Na-Chesilske:0:shuff:162,sit,sit,posadit,posadit,pf
en:McEwan_Na-Chesilske:0:shuff:158,cs:McEwan_Na-Chesilske:0:shuff:162,reading,read,číst,číst,impf
en:McEwan_Na-Chesilske:0:shuff:158,cs:McEwan_Na-Chesilske:0:shuff:162,staying,stay,zůstat,zůstat,pf
en:McEwan_Na-Chesilske:0:shuff:159,cs:McEwan_Na-Chesilske:0:shuff:163,watching,watch,pozorovala,pozorovat,impf
en:McEwan_Na-Chesilske:0:shuff:160,cs:McEwan_Na-Chesilske:0:shuff:164,played,play,hráli,hrát,impf
en:McEwan_Na-Chesilske:0:shuff:160,cs:McEwan_Na-Chesilske:0:shuff:164,found,find,objevili,objevit,pf
en:McEwan_Na-Chesilske:0:shuff:161,cs:McEwan_Na-Chesilske:0:shuff:165,said,say,neříká,říkat,impf
en:McEwan_Na-Chesilske:0:shuff:162,cs:McEwan_Na-Chesilske:0:shuff:166,make,make,učinit,učinit,pf
en:McEwan_Na-Chesilske:0:shuff:163,cs:McEwan_Na-Chesilske:0:shuff:167,trying,try,pokoušela,pokoušet,impf
en:McEwan_Na-Chesilske:0:shuff:165,cs:McEwan_Na-Chesilske:0:shuff:169,tried,try,pokusil,pokusit,pf
en:McEwan_Na-Chesilske:0:shuff:165,cs:McEwan_Na-Chesilske:0:shuff:169,take,take,vzít,vzít,pf
en:McEwan_Na-Chesilske:0:shuff:166,cs:McEwan_Na-Chesilske:0:shuff:170,think,think,přemýšlet,přemýšlet,impf
en:McEwan_Na-Chesilske:0:shuff:167,cs:McEwan_Na-Chesilske:0:shuff:171,voting,vote,volit,volit,impf
en:McEwan_Na-Chesilske:0:shuff:168,cs:McEwan_Na-Chesilske:0:shuff:172,dreamed,dream,sní,snít,impf
en:McEwan_Na-Chesilske:0:shuff:168,cs:McEwan_Na-Chesilske:0:shuff:172,give,give,dají,dát,pf
en:McEwan_Na-Chesilske:0:shuff:173,cs:McEwan_Na-Chesilske:0:shuff:177,mean,mean,Chci,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:173,cs:McEwan_Na-Chesilske:0:shuff:177,mean,mean,Chci,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:174,cs:McEwan_Na-Chesilske:0:shuff:178,spun,spin,otočil,otočit,pf
en:McEwan_Na-Chesilske:0:shuff:176,cs:McEwan_Na-Chesilske:0:shuff:180,adored,adore,Obdivovala,obdivovat,impf
en:McEwan_Na-Chesilske:0:shuff:176,cs:McEwan_Na-Chesilske:0:shuff:180,spoke,speak,promluvil,promluvit,pf
en:McEwan_Na-Chesilske:0:shuff:177,cs:McEwan_Na-Chesilske:0:shuff:181,wanted,want,chce,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:177,cs:McEwan_Na-Chesilske:0:shuff:181,spend,spend,strávit,strávit,pf
en:McEwan_Na-Chesilske:0:shuff:178,cs:McEwan_Na-Chesilske:0:shuff:182,losing,lose,ztratí,ztratit,pf
en:McEwan_Na-Chesilske:0:shuff:179,cs:McEwan_Na-Chesilske:0:shuff:183,felt,feel,pocítil,pocítit,pf
en:McEwan_Na-Chesilske:0:shuff:179,cs:McEwan_Na-Chesilske:0:shuff:183,widened,widen,rozšířily,rozšířit,pf
en:McEwan_Na-Chesilske:0:shuff:181,cs:McEwan_Na-Chesilske:0:shuff:185,said,say,Vyslovil,vyslovit,pf
en:McEwan_Na-Chesilske:0:shuff:181,cs:McEwan_Na-Chesilske:0:shuff:185,wanting,want,chtěl,chtít,impf
en:McEwan_Na-Chesilske:0:shuff:181,cs:McEwan_Na-Chesilske:0:shuff:185,steady,steady,uklidnit,uklidnit,pf
en:McEwan_Na-Chesilske:0:shuff:181,cs:McEwan_Na-Chesilske:0:shuff:185,dissuade,dissuade,odradit,odradit,pf
en:McEwan_Na-Chesilske:0:shuff:184,cs:McEwan_Na-Chesilske:0:shuff:188,checked,check,zkontroloval,zkontrolovat,pf
en:McEwan_Na-Chesilske:0:shuff:184,cs:McEwan_Na-Chesilske:0:shuff:188,attended,attend,chodili,chodit,impf
en:McEwan_Na-Chesilske:0:shuff:184,cs:McEwan_Na-Chesilske:0:shuff:188,walked,walk,chodili,chodit,impf
en:McEwan_Na-Chesilske:0:shuff:185,cs:McEwan_Na-Chesilske:0:shuff:189,spend,spend,Strávil,strávit,pf
en:McEwan_Na-Chesilske:0:shuff:185,cs:McEwan_Na-Chesilske:0:shuff:189,preparing,prepare,připravil,připravit,pf
en:McEwan_Na-Chesilske:0:shuff:185,cs:McEwan_Na-Chesilske:0:shuff:189,clearing,clear,uklidil,uklidit,pf
en:McEwan_Na-Chesilske:0:shuff:186,cs:McEwan_Na-Chesilske:0:shuff:190,cooked,cook,vařila,vařit,impf
en:McEwan_Na-Chesilske:0:shuff:187,cs:McEwan_Na-Chesilske:0:shuff:191,ran,run,běží,běžet,impf
