en:searle-mysl_mozek_veda:0:shuff:3,cs:searle-mysl_mozek_veda:0:shuff:3,remove,remove,odstranit,odstranit,pf
en:searle-mysl_mozek_veda:0:shuff:60,cs:searle-mysl_mozek_veda:0:shuff:64,think,think,Myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:66,cs:searle-mysl_mozek_veda:0:shuff:70,determined,determine,určeny,určit,pf
en:searle-mysl_mozek_veda:0:shuff:66,cs:searle-mysl_mozek_veda:0:shuff:70,follow,follow,nevyplývá,vyplývat,impf
en:searle-mysl_mozek_veda:0:shuff:72,cs:searle-mysl_mozek_veda:0:shuff:77,learn,learn,naučit,naučit,pf
en:searle-mysl_mozek_veda:0:shuff:73,cs:searle-mysl_mozek_veda:0:shuff:78,represents,represent,reprezentuje,reprezentovat,impf
en:searle-mysl_mozek_veda:0:shuff:74,cs:searle-mysl_mozek_veda:0:shuff:79,explain,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:75,cs:searle-mysl_mozek_veda:0:shuff:80,enabled,enable,umožňuje,umožňovat,impf
en:searle-mysl_mozek_veda:0:shuff:76,cs:searle-mysl_mozek_veda:0:shuff:81,think,think,Myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:76,cs:searle-mysl_mozek_veda:0:shuff:81,describe,describe,popisují,popisovat,impf
en:searle-mysl_mozek_veda:0:shuff:76,cs:searle-mysl_mozek_veda:0:shuff:81,make,make,vytvářejí,vytvářet,impf
en:searle-mysl_mozek_veda:0:shuff:78,cs:searle-mysl_mozek_veda:0:shuff:83,doing,do,dělá,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:78,cs:searle-mysl_mozek_veda:0:shuff:83,doing,do,dělá,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:78,cs:searle-mysl_mozek_veda:0:shuff:83,uses,use,užívá,užívat,impf
en:searle-mysl_mozek_veda:0:shuff:80,cs:searle-mysl_mozek_veda:0:shuff:85,following,follow,řídily,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:80,cs:searle-mysl_mozek_veda:0:shuff:85,play,play,hrál,hrát,impf
en:searle-mysl_mozek_veda:0:shuff:81,cs:searle-mysl_mozek_veda:0:shuff:86,learn,learn,dozvědět,dozvědět,pf
en:searle-mysl_mozek_veda:0:shuff:81,cs:searle-mysl_mozek_veda:0:shuff:86,follow,follow,řídil,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:82,cs:searle-mysl_mozek_veda:0:shuff:87,follow,follow,neřídím,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:83,cs:searle-mysl_mozek_veda:0:shuff:88,done,do,jednat,jednat,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,chose,choose,volil,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,vote,vote,volil,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,chosen,choose,volil,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,vote,vote,volil,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,chose,choose,volit,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,vote,vote,volit,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,chosen,choose,volit,volit,impf
en:searle-mysl_mozek_veda:0:shuff:84,cs:searle-mysl_mozek_veda:0:shuff:89,vote,vote,volit,volit,impf
en:searle-mysl_mozek_veda:0:shuff:87,cs:searle-mysl_mozek_veda:0:shuff:93,determines,determine,určuje,určovat,impf
en:searle-mysl_mozek_veda:0:shuff:88,cs:searle-mysl_mozek_veda:0:shuff:94,following,follow,řídil,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:89,cs:searle-mysl_mozek_veda:0:shuff:95,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:89,cs:searle-mysl_mozek_veda:0:shuff:95,follow,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:89,cs:searle-mysl_mozek_veda:0:shuff:95,following,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:89,cs:searle-mysl_mozek_veda:0:shuff:95,follow,follow,neřídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:89,cs:searle-mysl_mozek_veda:0:shuff:95,follow,follow,neřídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:89,cs:searle-mysl_mozek_veda:0:shuff:95,following,follow,neřídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:91,cs:searle-mysl_mozek_veda:0:shuff:97,raise,raise,zvedl,zvednout,pf
en:searle-mysl_mozek_veda:0:shuff:92,cs:searle-mysl_mozek_veda:0:shuff:98,does,do,udělá,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:92,cs:searle-mysl_mozek_veda:0:shuff:98,discover,discover,zjistí,zjistit,pf
en:searle-mysl_mozek_veda:0:shuff:95,cs:searle-mysl_mozek_veda:0:shuff:101,seem,seem,zdát,zdát,impf
en:searle-mysl_mozek_veda:0:shuff:95,cs:searle-mysl_mozek_veda:0:shuff:101,seems,seem,zdát,zdát,impf
en:searle-mysl_mozek_veda:0:shuff:96,cs:searle-mysl_mozek_veda:0:shuff:102,understand,understand,rozumí,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:97,cs:searle-mysl_mozek_veda:0:shuff:103,described,describe,popsáno,popsat,pf
en:searle-mysl_mozek_veda:0:shuff:98,cs:searle-mysl_mozek_veda:0:shuff:104,described,describe,popsat,popsat,pf
en:searle-mysl_mozek_veda:0:shuff:100,cs:searle-mysl_mozek_veda:0:shuff:107,explained,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:100,cs:searle-mysl_mozek_veda:0:shuff:107,composed,compose,skládá,skládat,impf
en:searle-mysl_mozek_veda:0:shuff:101,cs:searle-mysl_mozek_veda:0:shuff:108,explained,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:102,cs:searle-mysl_mozek_veda:0:shuff:109,explained,explain,vysvětlovány,vysvětlovat,impf
en:searle-mysl_mozek_veda:0:shuff:103,cs:searle-mysl_mozek_veda:0:shuff:110,suggest,suggest,nabízí,nabízet,impf
en:searle-mysl_mozek_veda:0:shuff:104,cs:searle-mysl_mozek_veda:0:shuff:111,look,look,Dívám,dívat,impf
en:searle-mysl_mozek_veda:0:shuff:104,cs:searle-mysl_mozek_veda:0:shuff:111,try,try,snažím,snažit,impf
en:searle-mysl_mozek_veda:0:shuff:104,cs:searle-mysl_mozek_veda:0:shuff:111,get,get,dostat,dostat,pf
en:searle-mysl_mozek_veda:0:shuff:105,cs:searle-mysl_mozek_veda:0:shuff:112,viewed,view,viděno,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:105,cs:searle-mysl_mozek_veda:0:shuff:112,viewed,view,viděno,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:105,cs:searle-mysl_mozek_veda:0:shuff:112,following,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:106,cs:searle-mysl_mozek_veda:0:shuff:113,following,follow,řídím,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:107,cs:searle-mysl_mozek_veda:0:shuff:114,show,show,prokázaly,prokázat,pf
en:searle-mysl_mozek_veda:0:shuff:107,cs:searle-mysl_mozek_veda:0:shuff:114,followed,follow,řídí,řídit,impf
en:searle-mysl_mozek_veda:0:shuff:108,cs:searle-mysl_mozek_veda:0:shuff:115,answered,answer,odpověděl,odpovědět,pf
en:searle-mysl_mozek_veda:0:shuff:108,cs:searle-mysl_mozek_veda:0:shuff:115,need,need,nemusím,muset,impf
en:searle-mysl_mozek_veda:0:shuff:116,cs:searle-mysl_mozek_veda:0:shuff:124,say,say,řekne,říci,pf
en:searle-mysl_mozek_veda:0:shuff:116,cs:searle-mysl_mozek_veda:0:shuff:124,says,say,řekne,říci,pf
en:searle-mysl_mozek_veda:0:shuff:116,cs:searle-mysl_mozek_veda:0:shuff:124,say,say,řekne,říci,pf
en:searle-mysl_mozek_veda:0:shuff:116,cs:searle-mysl_mozek_veda:0:shuff:124,says,say,řekne,říci,pf
en:searle-mysl_mozek_veda:0:shuff:118,cs:searle-mysl_mozek_veda:0:shuff:129,making,make,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:118,cs:searle-mysl_mozek_veda:0:shuff:129,doing,do,udělat,udělat,pf
en:searle-mysl_mozek_veda:0:shuff:120,cs:searle-mysl_mozek_veda:0:shuff:131,want,want,Chci,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:123,cs:searle-mysl_mozek_veda:0:shuff:134,think,think,Myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:127,cs:searle-mysl_mozek_veda:0:shuff:138,regarded,regard,pohlíží,pohlížet,impf
en:searle-mysl_mozek_veda:0:shuff:128,cs:searle-mysl_mozek_veda:0:shuff:139,deal,deal,zabývat,zabývat,impf
en:searle-mysl_mozek_veda:0:shuff:129,cs:searle-mysl_mozek_veda:0:shuff:140,think,think,myslí,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:132,cs:searle-mysl_mozek_veda:0:shuff:143,supposes,suppose,nepředpokládá,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:132,cs:searle-mysl_mozek_veda:0:shuff:143,supposes,suppose,nepředpokládá,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:132,cs:searle-mysl_mozek_veda:0:shuff:143,supposes,suppose,nepředpokládá,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:132,cs:searle-mysl_mozek_veda:0:shuff:143,supposes,suppose,nepředpokládá,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:136,cs:searle-mysl_mozek_veda:0:shuff:147,try,try,pokusil,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:138,cs:searle-mysl_mozek_veda:0:shuff:149,explain,explain,objasnit,objasnit,pf
en:searle-mysl_mozek_veda:0:shuff:141,cs:searle-mysl_mozek_veda:0:shuff:153,says,say,říká,říkat,impf
en:searle-mysl_mozek_veda:0:shuff:142,cs:searle-mysl_mozek_veda:0:shuff:154,think,think,Považuji,považovat,impf
en:searle-mysl_mozek_veda:0:shuff:143,cs:searle-mysl_mozek_veda:0:shuff:155,saw,see,Viděli,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:143,cs:searle-mysl_mozek_veda:0:shuff:155,described,describe,popsat,popsat,pf
en:searle-mysl_mozek_veda:0:shuff:146,cs:searle-mysl_mozek_veda:0:shuff:159,match,match,odpovídat,odpovídat,impf
en:searle-mysl_mozek_veda:0:shuff:147,cs:searle-mysl_mozek_veda:0:shuff:160,see,see,viděli,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:147,cs:searle-mysl_mozek_veda:0:shuff:160,see,see,viděli,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:147,cs:searle-mysl_mozek_veda:0:shuff:160,differ,differ,liší,lišit,impf
en:searle-mysl_mozek_veda:0:shuff:148,cs:searle-mysl_mozek_veda:0:shuff:161,expanded,expand,rozšířil,rozšířit,pf
en:searle-mysl_mozek_veda:0:shuff:148,cs:searle-mysl_mozek_veda:0:shuff:161,tried,try,snažil,snažit,impf
en:searle-mysl_mozek_veda:0:shuff:148,cs:searle-mysl_mozek_veda:0:shuff:161,keep,keep,zachovat,zachovat,pf
en:searle-mysl_mozek_veda:0:shuff:150,cs:searle-mysl_mozek_veda:0:shuff:163,concerns,concern,zabývám,zabývat,impf
en:searle-mysl_mozek_veda:0:shuff:150,cs:searle-mysl_mozek_veda:0:shuff:163,reconcile,reconcile,smířit,smířit,pf
en:searle-mysl_mozek_veda:0:shuff:154,cs:searle-mysl_mozek_veda:0:shuff:167,tried,try,pokusil,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:154,cs:searle-mysl_mozek_veda:0:shuff:167,explain,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:154,cs:searle-mysl_mozek_veda:0:shuff:167,contains,contain,zahrnuje,zahrnovat,impf
en:searle-mysl_mozek_veda:0:shuff:158,cs:searle-mysl_mozek_veda:0:shuff:171,want,want,chceme,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:158,cs:searle-mysl_mozek_veda:0:shuff:171,achieve,achieve,dosáhnout,dosáhnout,pf
en:searle-mysl_mozek_veda:0:shuff:159,cs:searle-mysl_mozek_veda:0:shuff:172,depend,depend,závisí,záviset,impf
en:searle-mysl_mozek_veda:0:shuff:161,cs:searle-mysl_mozek_veda:0:shuff:175,call,call,nazveme,nazvat,pf
en:searle-mysl_mozek_veda:0:shuff:163,cs:searle-mysl_mozek_veda:0:shuff:178,causes,cause,vyvolal,vyvolat,pf
en:searle-mysl_mozek_veda:0:shuff:170,cs:searle-mysl_mozek_veda:0:shuff:186,wish,wish,chceme,chtít,impf
en:searle-mysl_mozek_veda:0:shuff:170,cs:searle-mysl_mozek_veda:0:shuff:186,explain,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:171,cs:searle-mysl_mozek_veda:0:shuff:187,point,point,poukazují,poukazovat,impf
en:searle-mysl_mozek_veda:0:shuff:171,cs:searle-mysl_mozek_veda:0:shuff:187,describing,describe,popisujeme,popisovat,impf
en:searle-mysl_mozek_veda:0:shuff:171,cs:searle-mysl_mozek_veda:0:shuff:187,match,match,neodpovídají,odpovídat,impf
en:searle-mysl_mozek_veda:0:shuff:173,cs:searle-mysl_mozek_veda:0:shuff:189,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:173,cs:searle-mysl_mozek_veda:0:shuff:189,try,try,pokusil,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:176,cs:searle-mysl_mozek_veda:0:shuff:192,try,try,pokoušejí,pokoušet,impf
en:searle-mysl_mozek_veda:0:shuff:182,cs:searle-mysl_mozek_veda:0:shuff:198,changed,change,proměnila,proměnit,pf
en:searle-mysl_mozek_veda:0:shuff:183,cs:searle-mysl_mozek_veda:0:shuff:199,need,need,potřebujeme,potřebovat,impf
en:searle-mysl_mozek_veda:0:shuff:183,cs:searle-mysl_mozek_veda:0:shuff:199,need,need,potřebujeme,potřebovat,impf
en:searle-mysl_mozek_veda:0:shuff:183,cs:searle-mysl_mozek_veda:0:shuff:199,need,need,potřebujeme,potřebovat,impf
en:searle-mysl_mozek_veda:0:shuff:183,cs:searle-mysl_mozek_veda:0:shuff:199,need,need,potřebujeme,potřebovat,impf
en:searle-mysl_mozek_veda:0:shuff:184,cs:searle-mysl_mozek_veda:0:shuff:200,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:185,cs:searle-mysl_mozek_veda:0:shuff:201,say,say,říci,říci,pf
en:searle-mysl_mozek_veda:0:shuff:186,cs:searle-mysl_mozek_veda:0:shuff:202,differ,differ,liší,lišit,impf
en:searle-mysl_mozek_veda:0:shuff:186,cs:searle-mysl_mozek_veda:0:shuff:202,differ,differ,liší,lišit,impf
en:searle-mysl_mozek_veda:0:shuff:186,cs:searle-mysl_mozek_veda:0:shuff:202,differ,differ,liší,lišit,impf
en:searle-mysl_mozek_veda:0:shuff:186,cs:searle-mysl_mozek_veda:0:shuff:202,differ,differ,liší,lišit,impf
en:searle-mysl_mozek_veda:0:shuff:188,cs:searle-mysl_mozek_veda:0:shuff:204,cause,cause,způsobit,způsobit,pf
en:searle-mysl_mozek_veda:0:shuff:192,cs:searle-mysl_mozek_veda:0:shuff:208,explaining,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:193,cs:searle-mysl_mozek_veda:0:shuff:209,think,think,Myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:193,cs:searle-mysl_mozek_veda:0:shuff:209,defend,defend,obhájit,obhájit,pf
en:searle-mysl_mozek_veda:0:shuff:197,cs:searle-mysl_mozek_veda:0:shuff:214,push,push,tlačíte,tlačit,impf
en:searle-mysl_mozek_veda:0:shuff:202,cs:searle-mysl_mozek_veda:0:shuff:219,think,think,Myslí,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:202,cs:searle-mysl_mozek_veda:0:shuff:219,behaves,behave,chová,chovat,impf
en:searle-mysl_mozek_veda:0:shuff:202,cs:searle-mysl_mozek_veda:0:shuff:219,understood,understand,rozuměl,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:202,cs:searle-mysl_mozek_veda:0:shuff:219,understand,understand,rozuměl,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:202,cs:searle-mysl_mozek_veda:0:shuff:219,understood,understand,rozumí,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:202,cs:searle-mysl_mozek_veda:0:shuff:219,understand,understand,rozumí,rozumět,impf
en:searle-mysl_mozek_veda:0:shuff:203,cs:searle-mysl_mozek_veda:0:shuff:220,refuted,refute,vyvrátili,vyvrátit,pf
en:searle-mysl_mozek_veda:0:shuff:205,cs:searle-mysl_mozek_veda:0:shuff:222,told,tell,řečeno,říci,pf
en:searle-mysl_mozek_veda:0:shuff:205,cs:searle-mysl_mozek_veda:0:shuff:222,thought,think,mysleli,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:209,cs:searle-mysl_mozek_veda:0:shuff:226,suppose,suppose,předpokládat,předpokládat,impf
en:searle-mysl_mozek_veda:0:shuff:210,cs:searle-mysl_mozek_veda:0:shuff:227,hope,hope,Věřím,věřit,impf
en:searle-mysl_mozek_veda:0:shuff:211,cs:searle-mysl_mozek_veda:0:shuff:228,see,see,nevidíme,vidět,impf
en:searle-mysl_mozek_veda:0:shuff:212,cs:searle-mysl_mozek_veda:0:shuff:229,describe,describe,popíše,popsat,pf
en:searle-mysl_mozek_veda:0:shuff:214,cs:searle-mysl_mozek_veda:0:shuff:231,solved,solve,vyřešen,vyřešit,pf
en:searle-mysl_mozek_veda:0:shuff:215,cs:searle-mysl_mozek_veda:0:shuff:232,trying,try,pokusil,pokusit,pf
en:searle-mysl_mozek_veda:0:shuff:215,cs:searle-mysl_mozek_veda:0:shuff:232,explain,explain,vysvětlit,vysvětlit,pf
en:searle-mysl_mozek_veda:0:shuff:215,cs:searle-mysl_mozek_veda:0:shuff:232,stay,stay,zůstane,zůstat,pf
en:searle-mysl_mozek_veda:0:shuff:216,cs:searle-mysl_mozek_veda:0:shuff:233,consists,consist,skládá,skládat,impf
en:searle-mysl_mozek_veda:0:shuff:217,cs:searle-mysl_mozek_veda:0:shuff:234,imagine,imagine,Představíme,představit,pf
en:searle-mysl_mozek_veda:0:shuff:217,cs:searle-mysl_mozek_veda:0:shuff:234,determine,determine,určit,určit,pf
en:searle-mysl_mozek_veda:0:shuff:218,cs:searle-mysl_mozek_veda:0:shuff:235,said,say,řekl,říci,pf
en:searle-mysl_mozek_veda:0:shuff:218,cs:searle-mysl_mozek_veda:0:shuff:235,think,think,myslí,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:218,cs:searle-mysl_mozek_veda:0:shuff:235,tied,tie,spojena,spojit,pf
en:searle-mysl_mozek_veda:0:shuff:219,cs:searle-mysl_mozek_veda:0:shuff:236,think,think,myslím,myslet,impf
en:searle-mysl_mozek_veda:0:shuff:220,cs:searle-mysl_mozek_veda:0:shuff:237,do,do,dělat,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:220,cs:searle-mysl_mozek_veda:0:shuff:237,take,take,dělat,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:220,cs:searle-mysl_mozek_veda:0:shuff:237,babysit,babysit,hlídat,hlídat,impf
en:searle-mysl_mozek_veda:0:shuff:220,cs:searle-mysl_mozek_veda:0:shuff:237,amuse,amuse,bavit,bavit,impf
en:searle-mysl_mozek_veda:0:shuff:223,cs:searle-mysl_mozek_veda:0:shuff:240,confined,confine,omezují,omezovat,impf
en:searle-mysl_mozek_veda:0:shuff:224,cs:searle-mysl_mozek_veda:0:shuff:241,adding,add,sečte,sečíst,pf
en:searle-mysl_mozek_veda:0:shuff:228,cs:searle-mysl_mozek_veda:0:shuff:245,talking,talk,mluvili,mluvit,impf
en:searle-mysl_mozek_veda:0:shuff:230,cs:searle-mysl_mozek_veda:0:shuff:247,need,need,musíme,muset,impf
en:searle-mysl_mozek_veda:0:shuff:231,cs:searle-mysl_mozek_veda:0:shuff:248,drive,drive,jet,jet,impf
en:searle-mysl_mozek_veda:0:shuff:233,cs:searle-mysl_mozek_veda:0:shuff:250,raise,raise,nezvedneme,zvednout,pf
en:searle-mysl_mozek_veda:0:shuff:234,cs:searle-mysl_mozek_veda:0:shuff:251,do,do,děláme,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:234,cs:searle-mysl_mozek_veda:0:shuff:251,go,go,děláme,dělat,impf
en:searle-mysl_mozek_veda:0:shuff:236,cs:searle-mysl_mozek_veda:0:shuff:253,neglected,neglect,zanedbávala,zanedbávat,impf
